2013-02-28 06:48:22 configure sensible-utils:all 0.0.7 <none>
2013-02-28 06:48:22 status unpacked sensible-utils:all 0.0.7
2013-02-28 06:48:22 status half-configured sensible-utils:all 0.0.7
2013-02-28 06:48:22 status installed sensible-utils:all 0.0.7
2013-02-28 06:48:22 configure libsemanage-common:all 2.1.6-6 <none>
2013-02-28 06:48:22 status unpacked libsemanage-common:all 2.1.6-6
2013-02-28 06:48:22 status unpacked libsemanage-common:all 2.1.6-6
2013-02-28 06:48:22 status half-configured libsemanage-common:all 2.1.6-6
2013-02-28 06:48:22 status installed libsemanage-common:all 2.1.6-6
2013-02-28 06:48:22 configure gcc-4.7-base:i386 4.7.2-5 <none>
2013-02-28 06:48:22 status unpacked gcc-4.7-base:i386 4.7.2-5
2013-02-28 06:48:22 status half-configured gcc-4.7-base:i386 4.7.2-5
2013-02-28 06:48:22 status installed gcc-4.7-base:i386 4.7.2-5
2013-02-28 06:48:22 configure libc-bin:i386 2.13-38 <none>
2013-02-28 06:48:22 status unpacked libc-bin:i386 2.13-38
2013-02-28 06:48:22 status unpacked libc-bin:i386 2.13-38
2013-02-28 06:48:22 status unpacked libc-bin:i386 2.13-38
2013-02-28 06:48:22 status unpacked libc-bin:i386 2.13-38
2013-02-28 06:48:22 status unpacked libc-bin:i386 2.13-38
2013-02-28 06:48:22 status half-configured libc-bin:i386 2.13-38
2013-02-28 06:48:22 status installed libc-bin:i386 2.13-38
2013-02-28 06:48:22 configure libc6:i386 2.13-38 <none>
2013-02-28 06:48:22 status unpacked libc6:i386 2.13-38
2013-02-28 06:48:22 status unpacked libc6:i386 2.13-38
2013-02-28 06:48:22 status half-configured libc6:i386 2.13-38
2013-02-28 06:48:24 status installed libc6:i386 2.13-38
2013-02-28 06:48:24 configure debianutils:i386 4.3.4 <none>
2013-02-28 06:48:24 status unpacked debianutils:i386 4.3.4
2013-02-28 06:48:24 status half-configured debianutils:i386 4.3.4
